"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12409","transferMoreMoneyThenIsInBalanceNegativeTests(double) [3] -1000.0","","Thu Apr 30 20:55:46 UTC 2026","passed","Thu Apr 30 20:55:59 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","5707","tryChangeUsernameWithIncorrectDataTest(String) [2] Имя","","Thu Apr 30 20:55:42 UTC 2026","passed","Thu Apr 30 20:55:47 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","16889","transferMoneyToOtherAccountTests(double) [1] 250.75","","Thu Apr 30 20:56:09 UTC 2026","passed","Thu Apr 30 20:56:26 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","14115","transferMoneyToOtherAccountTests(double) [4] 9999.99","","Thu Apr 30 20:56:16 UTC 2026","passed","Thu Apr 30 20:56:30 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","4435","depositMoneyNegativeBalanceNegativeTest(double) [1] -100.0","","Thu Apr 30 20:55:41 UTC 2026","passed","Thu Apr 30 20:55:45 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyNegativeBalanceNegativeTest"
"","5797","tryChangeUsernameWithIncorrectDataTest(String) [5] full_name","","Thu Apr 30 20:55:36 UTC 2026","passed","Thu Apr 30 20:55:42 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","4575","depositMoneyOnNonExistentAccountNegativeTest()","","Thu Apr 30 20:55:47 UTC 2026","passed","Thu Apr 30 20:55:52 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyOnNonExistentAccountNegativeTest"
"","3165","depositMoneyByAdminNegativeTest()","","Thu Apr 30 20:55:49 UTC 2026","passed","Thu Apr 30 20:55:52 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByAdminNegativeTest"
"","2539","tryChangeUsernameWithAdminTokenNegativeTest()","","Thu Apr 30 20:55:57 UTC 2026","passed","Thu Apr 30 20:56:00 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithAdminTokenNegativeTest"
"","4069","depositMoneyNegativeBalanceNegativeTest(double) [2] -0.01","","Thu Apr 30 20:55:45 UTC 2026","passed","Thu Apr 30 20:55:49 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyNegativeBalanceNegativeTest"
"","16329","transferMoneyToOtherAccountTests(double) [3] 10000.0","","Thu Apr 30 20:56:10 UTC 2026","passed","Thu Apr 30 20:56:27 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","6643","depositMoneyFromSomeoneElseAccountNegativeTest()","","Thu Apr 30 20:55:52 UTC 2026","passed","Thu Apr 30 20:55:59 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyFromSomeoneElseAccountNegativeTest"
"","21560","depositMoneyByUserTest(double) [2] 5000.0","","Thu Apr 30 20:55:22 UTC 2026","passed","Thu Apr 30 20:55:44 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","11321","transferMoneyToMyAccountTests()","","Thu Apr 30 20:55:59 UTC 2026","passed","Thu Apr 30 20:56:10 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToMyAccountTests"
"","10942","transferMoneyByAdminNegativeTest()","","Thu Apr 30 20:56:05 UTC 2026","passed","Thu Apr 30 20:56:16 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyByAdminNegativeTest"
"","4680","depositMoneyMoreBalanceNegativeTest(double) [1] 5000.01","","Thu Apr 30 20:55:36 UTC 2026","passed","Thu Apr 30 20:55:41 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyMoreBalanceNegativeTest"
"","5376","tryChangeUsernameWithIncorrectDataTest(String) [3] имя.","","Thu Apr 30 20:55:47 UTC 2026","passed","Thu Apr 30 20:55:53 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","16267","transferMoneyMoreThenPossibleTests(double) [1] 10001.0","","Thu Apr 30 20:56:10 UTC 2026","passed","Thu Apr 30 20:56:27 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyMoreThenPossibleTests"
"","13832","tryChangeUsernameWithIncorrectDataTest(String) [4] full.name","","Thu Apr 30 20:55:22 UTC 2026","passed","Thu Apr 30 20:55:36 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
